n,leftDen,rightDen,blindLabel
1,OPPOSITE SRL,OPPOSITE9 S.R.L.,?
2,SALINO ENRICO,SALINO ENRICO,same
3,STUDIO NOTARILE BONI FRANCESCO,STUDIO NOTARILE BONI FRANCESCO,same
4,PEER RICHARD,PEER RICHARD,same
5,LOMBARDA SRL,LOMBARDI - S.R.L.,diff
6,GIOLUX IMPIANTI TECNOLOGICI DI TIBERI GIORDANO,GIOLUX IMPIANTI TECNOLOGICI DI TIBERI GIORDANO,same
7,PANATTA SPORT S.R.L.,PANTA SPORT S.R.L.,diff
8,FURCI MARINA,FURII MARINO SRL,diff
9,DE TOGNI NICOLA,DE TOGNI NICOLA,same
10,EDILPOSE DI BERTOLINI GIORDANO,EDILPOSE DI BERTOLINI GIORDANO,same
11,CO.GE.FA. SPA,CO.GE.FA SRL,same
12,FRAINER SILVANO SRL,FRAINER SILVANO SRL,same
13,A.G.R. COSTRUZIONI SRL,A.G.R. COSTRUZIONI SRL,same
14,APPALTI COSTRUZIONI S.R.L.,APPALTI E COSTRUZIONI SRL,same
15,DI PISA GIUSEPPE,DI PISA GIUSEPPE,same
16,STUDIO VERDE S.R.L.,STUDIO VERDE S.R.L.,same
17,BLAS COSTRUZIONI S.R.L.,BLASI COSTRUZIONI S.R.L.,diff
18,GE.CO. GROUP S.R.L.,GE.DI GROUP SPA,diff
19,LAVORO SOCIETA' COOPERATIVA SOCIALE,LAVORO - SOCIETA' COOPERATIVA SOCIALE,same
20,MA.DE. ENGINEERING,MA. G. ENGINEERING S.R.L.,diff
21,IAS ITALIA S.R.L.,IASON ITALIA SRL,diff
22,BREMBO ASCENSORI S.R.L.,BREMI ASCENSORI S.R.L.,diff
23,SICILIGIENE,SICILIGIENE S.R.L.,same
24,FURCI MARINA,FURII MARINO,diff
25,SKILLWORKS S.R.L.,SKIN WORKS SRL,diff
26,ALI SERVICE S.R.L.,ALIS SERVICE SRL,diff
27,TOMANIN ROBERTO,TOMASI ROBERTO,diff
28,ROCHE S.P.A. UNIPERSONALE,ROCHE S.P.A. UNIPERSONALE,same
